179	[N:BumperF6_Mesh_011_M_Chassis_Max_007]	mesh=0	world=(0, 0, 0)	local=(0, 0, -0)
180	[N:BumperF6_Mesh_011_M_Chassis_Max_008]	mesh=0	world=(0, 0, 0)	local=(0, 0, -0)
181	[N:BumperF6_Mesh_011_M_Chassis_Max_009]	mesh=0	world=(0, 0, 0)	local=(0, 0, -0)
182	[N:BumperR6_Mesh_012_M_Opaque_PlasticRoughBlack_Max_002_N:M_Opaque_PlasticRoughBlack_Max1_0]	mesh=1	world=(0, 0, 0)	local=(0, 0, -0)
183	[N:BumperR6_Mesh_012_M_Opaque_PlasticRoughBlack_Max_002]	mesh=0	world=(0, 0, 0)	local=(0, 0, -0)
184	[N:BumperR6_Mesh_012_M_Opaque_PlasticRoughBlack_Max_003_N:M_LightBucket_Max1_0]	mesh=1	world=(0, 0, 0)	local=(0, 0, -0)
185	[N:BumperR6_Mesh_012_M_Opaque_PlasticRoughBlack_Max_003]	mesh=0	world=(0, 0, 0)	local=(0, 0, -0)
186	[N:BumperR6_Mesh_012_M_Opaque_PlasticRoughBlack_Max_004]	mesh=0	world=(0, 0, 0)	local=(0, 0, -0)
187	[N:BumperR6_Mesh_012_M_Opaque_PlasticRoughBlack_Max_005]	mesh=0	world=(0, 0, 0)	local=(0, 0, -0)
188	[N:BumperR6_Mesh_012_M_Opaque_PlasticRoughBlack_Max_006_N:M_Opaque_PlasticSmoothBlack_Max1_0]	mesh=1	world=(0, 0, 0)	local=(0, 0, -0)
189	[N:BumperR6_Mesh_012_M_Opaque_PlasticRoughBlack_Max_006]	mesh=0	world=(0, 0, 0)	local=(0, 0, -0)
190	[N:BumperR6_Mesh_012_M_Opaque_PlasticRoughBlack_Max_007_N:M_Opaque_PlasticRoughBlack_Max1_0]	mesh=1	world=(0, 0, 0)	local=(0, 0, -0)
191	[N:BumperR6_Mesh_012_M_Opaque_PlasticRoughBlack_Max_007]	mesh=0	world=(0, 0, 0)	local=(0, 0, -0)
192	[N:Chassis6_Mesh_M_Opaque_PlasticSmoothBlack_Max_N:M_CarPaint_Max1_0]	mesh=1	world=(0, 0, 0)	local=(0, 0, -0)
193	[N:Chassis6_Mesh_M_Opaque_PlasticSmoothBlack_Max_N:M_CarPaintNormal_Max1_0]	mesh=0	world=(0, 0, 0)	local=(0, 0, -0)
194	[N:Chassis6_Mesh_M_Opaque_PlasticSmoothBlack_Max_N:M_Chassis_Max]	mesh=0	world=(-0.00819847, 0.499193, -1.41475)	local=(-0.819847, 49.9193, -141.475)
195	[N:Chassis6_Mesh_M_Opaque_PlasticSmoothBlack_Max_N:M_Chassis_Max1_0]	mesh=1	world=(0, 0, 0)	local=(0, 0, -0)
196	[N:Chassis6_Mesh_M_Opaque_PlasticSmoothBlack_Max_N:M_Engine_Max1_0]	mesh=1	world=(0, 0, 0)	local=(0, 0, -0)
197	[N:Chassis6_Mesh_M_Opaque_PlasticSmoothBlack_Max_N:M_Opaque_PlasticSmoothBlack_Max1_0]	mesh=1	world=(0, 0, 0)	local=(0, 0, -0)
198	[N:Chassis6_Mesh_M_Opaque_PlasticSmoothBlack_Max]	mesh=0	world=(0, 0, 0)	local=(0, 0, -0)
199	[N:DoorL4_Mesh_001_M_InteriorTiledSimple_Max]	mesh=0	world=(0, 0, 0)	local=(0, 0, -0)
200	[N:DoorL4_Mesh_001_M_InteriorTiledSimple_Max1]	mesh=0	world=(0, 0, 0)	local=(0, 0, -0)
201	[N:DoorL4_Mesh_001_M_InteriorTiledSimple_Max2_N:M_Badge_Max1_0]	mesh=1	world=(0, 0, 0)	local=(0, 0, -0)
202	[N:DoorL4_Mesh_001_M_InteriorTiledSimple_Max2]	mesh=0	world=(0, 0, 0)	local=(0, 0, -0)
203	[N:DoorL4_Mesh_001_M_InteriorTiledSimple_Max3]	mesh=0	world=(0, 0, 0)	local=(0, 0, -0)
204	[N:DoorL_Glass4_Mesh_002_M_Opaque_PlasticRoughBlack_Max_N:M_Opaque_PlasticRoughBlack_Max1_0]	mesh=1	world=(0, 0, 0)	local=(0, 0, -0)
205	[N:DoorL_Glass4_Mesh_002_M_Opaque_PlasticRoughBlack_Max]	mesh=0	world=(0, 0, 0)	local=(0, 0, -0)
206	[N:DoorR4_Mesh_003_M_InteriorTiledSimple_Max_N:M_InteriorTiledSimple_Max1_0]	mesh=1	world=(0, 0, 0)	local=(0, 0, -0)
207	[N:DoorR4_Mesh_003_M_InteriorTiledSimple_Max]	mesh=0	world=(0, 0, 0)	local=(0, 0, -0)
208	[N:DoorR4_Mesh_003_M_InteriorTiledSimple_Max1_N:M_Opaque_PlasticSmoothBlack_Max1_0]	mesh=1	world=(0, 0, 0)	local=(0, 0, -0)
209	[N:DoorR4_Mesh_003_M_InteriorTiledSimple_Max1]	mesh=0	world=(0, 0, 0)	local=(0, 0, -0)
210	[N:DoorR4_Mesh_003_M_InteriorTiledSimple_Max2_N:M_Badge_Max1_0]	mesh=1	world=(0, 0, 0)	local=(0, 0, -0)
211	[N:DoorR4_Mesh_003_M_InteriorTiledSimple_Max2]	mesh=0	world=(0, 0, 0)	local=(0, 0, -0)
212	[N:DoorR4_Mesh_003_M_InteriorTiledSimple_Max3_N:M_CarPaint_Max1_0]	mesh=1	world=(0, 0, 0)	local=(0, 0, -0)
213	[N:DoorR4_Mesh_003_M_InteriorTiledSimple_Max3]	mesh=0	world=(0, 0, 0)	local=(0, 0, -0)
214	[N:DoorR4_Mesh_003_M_InteriorTiledSimple_Max4_N:M_Interior_Max1_0]	mesh=1	world=(0, 0, 0)	local=(0, 0, -0)
215	[N:DoorR4_Mesh_003_M_InteriorTiledSimple_Max4]	mesh=0	world=(0, 0, 0)	local=(0, 0, -0)
216	[N:DoorR_Glass4_Mesh_004_M_Opaque_PlasticRoughBlack_Max_N:M_Opaque_PlasticRoughBlack_Max1_0]	mesh=1	world=(0, 0, 0)	local=(0, 0, -0)
217	[N:DoorR_Glass4_Mesh_004_M_Opaque_PlasticRoughBlack_Max]	mesh=0	world=(0, 0, 0)	local=(0, 0, -0)
218	[N:DoorR_Glass4_Mesh_004_M_Opaque_PlasticRoughBlack_Max1_N:M_Glass_WindowFront_Low1_0]	mesh=1	world=(0, 0, 0)	local=(0, 0, -0)
219	[N:DoorR_Glass4_Mesh_004_M_Opaque_PlasticRoughBlack_Max1]	mesh=0	world=(0, 0, 0)	local=(0, 0, -0)
220	[N:Exhausts6_Mesh_013_M_Opaque_NickelSmooth_Max_N:M_Opaque_NickelSmooth_Max1_0]	mesh=1	world=(0.0356177, 0, 0.0771554)	local=(0, 0, -0)
221	[N:Exhausts6_Mesh_013_M_Opaque_NickelSmooth_Max]	mesh=0	world=(0.0356177, 0, 0.0771554)	local=(3.56177, 0, 7.71554)
222	[N:Exhausts6_Mesh_013_M_Opaque_NickelSmooth_Max1_N:M_Opaque_NickelRough_Max1_0]	mesh=1	world=(0.0356177, 0, 0.0771554)	local=(0, 0, -0)
